+------------------------+-------------------------------------------+------------------------------------------+
|       Имя схемы        |                Имя Таблицы                |                  Ошибки                  |
| label_selected.schema  | fb1a0854-9535-404d-9bdd-9ec0abb6cd6c.json |      'data' is not of type 'object'      |
| label_selected.schema  | fb1a0854-9535-404d-9bdd-9ec0abb6cd6c.json |   'created_at' is not of type 'object'   |
| label_selected.schema  | fb1a0854-9535-404d-9bdd-9ec0abb6cd6c.json | 'environment_id' is not of type 'object' |
| label_selected.schema  | ffe6b214-d543-40a8-8da3-deb0dc5bbd8c.json |       'id' is not of type 'object'       |
| label_selected.schema  | ffe6b214-d543-40a8-8da3-deb0dc5bbd8c.json |    'user_id' is not of type 'object'     |
| label_selected.schema  | ffe6b214-d543-40a8-8da3-deb0dc5bbd8c.json |     'event' is not of type 'object'      |
| label_selected.schema  | ffe6b214-d543-40a8-8da3-deb0dc5bbd8c.json |      'data' is not of type 'object'      |
| label_selected.schema  | ffe6b214-d543-40a8-8da3-deb0dc5bbd8c.json |   'created_at' is not of type 'object'   |
| label_selected.schema  | ffe6b214-d543-40a8-8da3-deb0dc5bbd8c.json | 'environment_id' is not of type 'object' |
|  sleep_created.schema  | 1eba2aa1-2acf-460d-91e6-55a8c3e3b7a3.json |     'event' is not of type 'object'      |
|  sleep_created.schema  | 1eba2aa1-2acf-460d-91e6-55a8c3e3b7a3.json |      'data' is not of type 'object'      |
|  sleep_created.schema  | 1eba2aa1-2acf-460d-91e6-55a8c3e3b7a3.json |   'created_at' is not of type 'object'   |
|  sleep_created.schema  | 1eba2aa1-2acf-460d-91e6-55a8c3e3b7a3.json | 'environment_id' is not of type 'object' |
|  sleep_created.schema  | 297e4dc6-07d1-420d-a5ae-e4aff3aedc19.json |       'id' is not of type 'object'       |
|  sleep_created.schema  | 297e4dc6-07d1-420d-a5ae-e4aff3aedc19.json |    'user_id' is not of type 'object'     |
|  sleep_created.schema  | 297e4dc6-07d1-420d-a5ae-e4aff3aedc19.json |     'event' is not of type 'object'      |
|  sleep_created.schema  | 297e4dc6-07d1-420d-a5ae-e4aff3aedc19.json |      'data' is not of type 'object'      |
|  sleep_created.schema  | 297e4dc6-07d1-420d-a5ae-e4aff3aedc19.json |   'created_at' is not of type 'object'   |
|  sleep_created.schema  | 297e4dc6-07d1-420d-a5ae-e4aff3aedc19.json | 'environment_id' is not of type 'object' |
|  sleep_created.schema  | 29f0bfa7-bd51-4d45-93be-f6ead1ae0b96.json |               Файл пустой                |
|  sleep_created.schema  | 2e8ffd3c-dbda-42df-9901-b7a30869511a.json |       'id' is not of type 'object'       |
